delta_wins,delta_losses,delta_draws,delta_height_in,delta_weight_lbs,delta_reach_in,delta_stat_reliability,delta_experience_log,delta_shrunk_win_rate,delta_shrunk_str_acc,delta_shrunk_str_def,delta_shrunk_td_acc,delta_shrunk_td_def,delta_shrunk_td_avg,delta_shrunk_sub_avg,delta_shrunk_slpm,delta_shrunk_sapm,delta_shrunk_strike_margin,stance_match,delta_schedule_strength,delta_schedule_std,delta_underdog_win_share,delta_favorite_loss_share,delta_lucky_finish_win_share,delta_unlucky_finish_loss_share,delta_upset_index,division_id,delta_recent_win_rate,delta_adj_win_rate,delta_adj_td_acc,delta_adj_td_def,delta_adj_str_acc,delta_adj_str_def,delta_adj_td_avg,delta_adj_sub_avg,abs_delta_wins,abs_delta_losses,abs_delta_draws,abs_delta_height_in,abs_delta_weight_lbs,abs_delta_reach_in,abs_delta_stat_reliability,abs_delta_experience_log,abs_delta_shrunk_win_rate,abs_delta_shrunk_str_acc,abs_delta_shrunk_str_def,abs_delta_shrunk_td_acc,abs_delta_shrunk_td_def,abs_delta_shrunk_td_avg,abs_delta_shrunk_sub_avg,abs_delta_shrunk_slpm,abs_delta_shrunk_sapm,abs_delta_shrunk_strike_margin,abs_delta_schedule_strength,abs_delta_schedule_std,abs_delta_underdog_win_share,abs_delta_favorite_loss_share,abs_delta_lucky_finish_win_share,abs_delta_unlucky_finish_loss_share,abs_delta_upset_index,abs_delta_recent_win_rate,abs_delta_adj_win_rate,abs_delta_adj_td_acc,abs_delta_adj_td_def,abs_delta_adj_str_acc,abs_delta_adj_str_def,abs_delta_adj_td_avg,abs_delta_adj_sub_avg,label
-10.0,-2.0,0.0,1.0,0.0,-5.0,-0.03896103896103886,-0.2809023854664021,-0.02759740259740262,-0.06116883116883115,0.08454545454545448,0.11415584415584418,0.22324675324675325,-1.731818181818182,-1.9694805194805194,3.040909090909091,1.3094805194805201,1.7314285714285709,1.0,-0.012021762021761973,-0.03961916461916459,0.0,0.0,0.0,0.0,-0.75,4.0,-1.0,-0.04207220320280791,0.1144484837966952,0.22750394732020518,-0.07429717218575949,0.08123618226287699,-1.8760101205126332,-2.131152379155223,10.0,2.0,0.0,1.0,0.0,5.0,0.03896103896103886,0.2809023854664021,0.02759740259740262,0.06116883116883115,0.08454545454545448,0.11415584415584418,0.22324675324675325,1.731818181818182,1.9694805194805194,3.040909090909091,1.3094805194805201,1.7314285714285709,0.012021762021761973,0.03961916461916459,0.5,1.0,0.0,0.0,1.0,1.0,0.04207220320280791,0.1144484837966952,0.22750394732020518,0.07429717218575949,0.08123618226287699,1.8760101205126332,2.131152379155223,1
-3.0,-2.0,0.0,-3.0,0.0,-3.0,-0.04329004329004327,-0.21357410029805912,0.02813852813852824,0.05584415584415581,0.10389610389610376,0.15389610389610398,0.2658008658008658,-0.9989177489177488,-0.15367965367965358,0.7805194805194806,0.24523809523809526,0.5352813852813854,1.0,-0.01785395708860804,-0.0102845710499202,0.0,0.5,0.0,-0.5,-0.75,6.0,0.5,0.010618382226841971,0.15729496879065885,0.2740036369958793,0.04776595345927048,0.0991649699609436,-1.1305190754240593,-0.17910516285023864,3.0,2.0,0.0,3.0,0.0,3.0,0.04329004329004327,0.21357410029805912,0.02813852813852824,0.05584415584415581,0.10389610389610376,0.15389610389610398,0.2658008658008658,0.9989177489177488,0.15367965367965358,0.7805194805194806,0.24523809523809526,0.5352813852813854,0.01785395708860804,0.0102845710499202,0.5,0.5,0.0,0.5,1.0,0.5,0.010618382226841971,0.15729496879065885,0.2740036369958793,0.04776595345927048,0.0991649699609436,1.1305190754240593,0.17910516285023864,0
10.0,9.0,0.0,-1.0,0.0,4.0,0.18095238095238098,0.8574502318512218,-0.11190476190476195,0.018571428571428572,0.034571428571428475,-0.17104761904761911,0.03266666666666662,-3.4152380952380956,-0.3804761904761905,2.5346666666666664,1.3506666666666667,1.1839999999999997,0.0,0.12225672877846794,0.010351966873705987,0.0,0.0,0.0,0.0,-0.75,2.0,-1.0,0.009759562324695992,-0.10664348825751763,0.10456395074679375,0.0973043378483468,0.13295827122715176,-3.0814842083995413,-0.3037325942558109,10.0,9.0,0.0,1.0,0.0,4.0,0.18095238095238098,0.8574502318512218,0.11190476190476195,0.018571428571428572,0.034571428571428475,0.17104761904761911,0.03266666666666662,3.4152380952380956,0.3804761904761905,2.5346666666666664,1.3506666666666667,1.1839999999999997,0.12225672877846794,0.010351966873705987,0.5,1.0,0.0,0.0,1.0,1.0,0.009759562324695992,0.10664348825751763,0.10456395074679375,0.0973043378483468,0.13295827122715176,3.0814842083995413,0.3037325942558109,1
4.0,-5.0,0.0,-2.0,0.0,-3.0,-0.002902757619738794,-0.02197890671877545,0.08744557329462976,0.01709724238026117,-0.042394775036284416,-0.18615384615384617,-0.1952249637155299,0.03538461538461557,0.0856313497822932,0.1769085631349787,0.4657329462989841,-0.2888243831640054,1.0,-0.05547492339945159,0.03197064989517817,0.0,0.0,0.0,0.0,-0.75,4.0,1.0,0.029427690005002893,-0.18694433460942675,-0.22661221750797378,-0.017747250703464168,-0.08191511086638487,-0.022577309708756044,0.06767930136471004,4.0,5.0,0.0,2.0,0.0,3.0,0.002902757619738794,0.02197890671877545,0.08744557329462976,0.01709724238026117,0.042394775036284416,0.18615384615384617,0.1952249637155299,0.03538461538461557,0.0856313497822932,0.1769085631349787,0.4657329462989841,0.2888243831640054,0.05547492339945159,0.03197064989517817,0.5,1.0,0.0,0.0,1.0,1.0,0.029427690005002893,0.18694433460942675,0.22661221750797378,0.017747250703464168,0.08191511086638487,0.022577309708756044,0.06767930136471004,0
4.0,3.0,0.0,5.0,0.0,3.0,0.06526806526806528,0.3136575588550419,-0.03379953379953382,0.010839160839160866,-0.010186480186480162,0.07354312354312353,0.10671328671328673,0.502214452214452,-0.27365967365967375,1.3183216783216785,0.6597435897435906,0.6585780885780879,1.0,0.047601521285731696,-0.013801987486197986,0.0,0.0,0.0,0.0,-0.75,6.0,0.5,0.016200313469763805,0.09359747789401152,0.15005034323270827,0.044443724957348385,0.025737960719757036,0.592078083482896,-0.23166225831829357,4.0,3.0,0.0,5.0,0.0,3.0,0.06526806526806528,0.3136575588550419,0.03379953379953382,0.010839160839160866,0.010186480186480162,0.07354312354312353,0.10671328671328673,0.502214452214452,0.27365967365967375,1.3183216783216785,0.6597435897435906,0.6585780885780879,0.047601521285731696,0.013801987486197986,0.0,1.0,0.0,0.0,1.0,0.5,0.016200313469763805,0.09359747789401152,0.15005034323270827,0.044443724957348385,0.025737960719757036,0.592078083482896,0.23166225831829357,0
-12.0,-4.0,0.0,0.0,0.0,-5.0,-0.09275362318840585,-0.5280674302004966,-0.04057971014492745,-0.053188405797101435,0.06330434782608696,-0.026463768115941977,-0.02773913043478249,0.11405797101449278,0.03246376811594205,-1.762985507246376,-0.13469565217391288,-1.6282898550724632,1.0,-0.013123993558776248,-0.0537037037037037,0.0,0.0,0.0,0.0,-0.75,2.0,1.0,-0.05249309889684828,-0.03137090357432776,-0.041994479117478556,-0.060869806313691266,0.05219413931247463,0.09620893124622776,0.030573288745706056,12.0,4.0,0.0,0.0,0.0,5.0,0.09275362318840585,0.5280674302004966,0.04057971014492745,0.053188405797101435,0.06330434782608696,0.026463768115941977,0.02773913043478249,0.11405797101449278,0.03246376811594205,1.762985507246376,0.13469565217391288,1.6282898550724632,0.013123993558776248,0.0537037037037037,0.5,1.0,0.0,0.0,1.0,1.0,0.05249309889684828,0.03137090357432776,0.041994479117478556,0.060869806313691266,0.05219413931247463,0.09620893124622776,0.030573288745706056,0
-3.0,-9.0,-1.0,-4.0,0.0,2.0,-0.22413793103448276,-0.8938178760220965,0.23275862068965514,-0.006724137931034546,0.06620689655172418,0.2882758620689655,0.017068965517241352,-0.11482758620689637,0.06637931034482747,0.815,-0.3127586206896549,1.1277586206896548,0.0,-0.11609604288764697,-0.0012259100767589293,0.0,0.0,0.0,0.0,-0.75,6.0,1.0,0.10763006304441425,0.17352788457797497,-0.0965077824694669,-0.08505821319514162,-0.031127548627579604,-0.37640274812023855,-0.021692925364686255,3.0,9.0,1.0,4.0,0.0,2.0,0.22413793103448276,0.8938178760220965,0.23275862068965514,0.006724137931034546,0.06620689655172418,0.2882758620689655,0.017068965517241352,0.11482758620689637,0.06637931034482747,0.815,0.3127586206896549,1.1277586206896548,0.11609604288764697,0.0012259100767589293,0.5,1.0,0.0,0.0,1.0,1.0,0.10763006304441425,0.17352788457797497,0.0965077824694669,0.08505821319514162,0.031127548627579604,0.37640274812023855,0.021692925364686255,0
1.0,5.0,0.0,2.0,0.0,2.0,0.08465608465608465,0.35667494393873245,-0.13227513227513232,-0.13507936507936513,-0.0591005291005291,0.08746031746031746,-0.21783068783068782,0.5050264550264549,-4.0280423280423285,-0.30148148148148124,-0.3765079365079371,0.07502645502645588,1.0,0.13227513227513232,0.0,0.0,0.0,0.0,0.0,-0.75,3.0,-1.0,0.0,0.12442413178215386,-0.10541773171756907,-0.045124212266389685,0.046147437034335104,0.6384922551978949,-3.6181227794547377,1.0,5.0,0.0,2.0,0.0,2.0,0.08465608465608465,0.35667494393873245,0.13227513227513232,0.13507936507936513,0.0591005291005291,0.08746031746031746,0.21783068783068782,0.5050264550264549,4.0280423280423285,0.30148148148148124,0.3765079365079371,0.07502645502645588,0.13227513227513232,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.12442413178215386,0.10541773171756907,0.045124212266389685,0.046147437034335104,0.6384922551978949,3.6181227794547377,1
7.0,9.0,1.0,0.0,0.0,-4.0,0.19883040935672514,0.8823891801984738,-0.1535087719298246,0.00959064327485376,-0.02730994152046784,-0.00725146198830412,0.023157894736842155,0.8557894736842102,-0.8187134502923977,0.22771929824561354,1.053450292397661,-0.8257309941520474,0.0,0.10453216374269014,-0.034356725146198974,0.0,0.0,0.0,0.0,-0.75,1.0,-1.0,-0.05071526049676467,0.060474266721043446,0.11196233118728272,0.07574185733749106,0.05273562453281466,1.2715676459869316,-0.6596282418107658,7.0,9.0,1.0,0.0,0.0,4.0,0.19883040935672514,0.8823891801984738,0.1535087719298246,0.00959064327485376,0.02730994152046784,0.00725146198830412,0.023157894736842155,0.8557894736842102,0.8187134502923977,0.22771929824561354,1.053450292397661,0.8257309941520474,0.10453216374269014,0.034356725146198974,0.5,1.0,0.0,0.0,1.0,1.0,0.05071526049676467,0.060474266721043446,0.11196233118728272,0.07574185733749106,0.05273562453281466,1.2715676459869316,0.6596282418107658,1
7.0,3.0,0.0,4.0,0.0,10.0,0.0980392156862745,0.46262352194811296,0.009803921568627305,0.08490196078431372,0.013529411764705901,0.037058823529411755,0.19176470588235295,-0.6088235294117645,-0.3852941176470589,1.3021568627450972,-0.11196078431372536,1.4141176470588226,0.0,-0.03388746803069054,0.024083546462063177,0.0,0.0,0.0,0.0,-0.75,1.0,0.5,-0.023699691316381277,0.01854758450847216,0.15278881865262434,0.05870207454795284,-0.016485711363947053,-0.6309331822246984,-0.3981393577947795,7.0,3.0,0.0,4.0,0.0,10.0,0.0980392156862745,0.46262352194811296,0.009803921568627305,0.08490196078431372,0.013529411764705901,0.037058823529411755,0.19176470588235295,0.6088235294117645,0.3852941176470589,1.3021568627450972,0.11196078431372536,1.4141176470588226,0.03388746803069054,0.024083546462063177,0.0,1.0,0.0,0.0,1.0,0.5,0.023699691316381277,0.01854758450847216,0.15278881865262434,0.05870207454795284,0.016485711363947053,0.6309331822246984,0.3981393577947795,0
