Red,Blue,Winner,Fight_URL,Event
Josh Emmett,Kevin Vallejos,,http://ufcstats.com/fight-details/f594fc5c2bc6237e,UFC Fight Night: Emmett vs. Vallejos
Amanda Lemos,Gillian Robertson,,http://ufcstats.com/fight-details/3b7b771b9578383d,UFC Fight Night: Emmett vs. Vallejos
Ion Cutelaba,Oumar Sy,,http://ufcstats.com/fight-details/db7694f4513120d5,UFC Fight Night: Emmett vs. Vallejos
Andre Fili,Jose Delgado,,http://ufcstats.com/fight-details/8bee5192baec71d8,UFC Fight Night: Emmett vs. Vallejos
Marwan Rahiki,Harry Hardwick,,http://ufcstats.com/fight-details/e0acd0cf4930671b,UFC Fight Night: Emmett vs. Vallejos
Vitor Petrino,Steven Asplund,,http://ufcstats.com/fight-details/2c330a6f7f1e55f0,UFC Fight Night: Emmett vs. Vallejos
Charles Johnson,Bruno Silva,,http://ufcstats.com/fight-details/fc9168fd102e2e66,UFC Fight Night: Emmett vs. Vallejos
Brad Tavares,Eryk Anders,,http://ufcstats.com/fight-details/cff81d681a01ae18,UFC Fight Night: Emmett vs. Vallejos
Chris Curtis,Myktybek Orolbai,,http://ufcstats.com/fight-details/f26c0bdf7689aea2,UFC Fight Night: Emmett vs. Vallejos
Bolaji Oki,Manoel Sousa,,http://ufcstats.com/fight-details/c769dd861357af9f,UFC Fight Night: Emmett vs. Vallejos
Luan Lacerda,Hecher Sosa,,http://ufcstats.com/fight-details/32d371462c539bee,UFC Fight Night: Emmett vs. Vallejos
Bia Mesquita,Montse Rendon,,http://ufcstats.com/fight-details/8cab057e6549afd0,UFC Fight Night: Emmett vs. Vallejos
Elijah Smith,SuYoung You,,http://ufcstats.com/fight-details/f44b4e998b6829f6,UFC Fight Night: Emmett vs. Vallejos
Piera Rodriguez,Sam Hughes,,http://ufcstats.com/fight-details/244285b7fd0ddece,UFC Fight Night: Emmett vs. Vallejos
Charles Oliveira,Max Holloway,,http://ufcstats.com/fight-details/f030febede41c661,UFC 326: Holloway vs. Oliveira 2
Caio Borralho,Reinier de Ridder,,http://ufcstats.com/fight-details/d564db29997e1371,UFC 326: Holloway vs. Oliveira 2
Raul Rosas Jr.,Rob Font,,http://ufcstats.com/fight-details/bed89a91da9d04c1,UFC 326: Holloway vs. Oliveira 2
Drew Dober,Michael Johnson,,http://ufcstats.com/fight-details/f02c0adc4ae629c6,UFC 326: Holloway vs. Oliveira 2
Gregory Rodrigues,Brunno Ferreira,,http://ufcstats.com/fight-details/6a4738656c493ee9,UFC 326: Holloway vs. Oliveira 2
Cody Garbrandt,Xiao Long,,http://ufcstats.com/fight-details/ecd16d14a138d7fb,UFC 326: Holloway vs. Oliveira 2
Donte Johnson,Cody Brundage,,http://ufcstats.com/fight-details/9c8d5dbd8905a715,UFC 326: Holloway vs. Oliveira 2
Alberto Montes,Ricky Turcios,,http://ufcstats.com/fight-details/6feb49a6b7e8433c,UFC 326: Holloway vs. Oliveira 2
Nyamjargal Tumendemberel,Cody Durden,,http://ufcstats.com/fight-details/f661ef429055f8c1,UFC 326: Holloway vs. Oliveira 2
Sumudaerji,Jesus Aguilar,,http://ufcstats.com/fight-details/a22fd3735819d858,UFC 326: Holloway vs. Oliveira 2
Diyar Nurgozhay,Rafael Tobias,,http://ufcstats.com/fight-details/cc03e698c4b7da52,UFC 326: Holloway vs. Oliveira 2
Rodolfo Bellato,Luke Fernandez,,http://ufcstats.com/fight-details/a5abdc461cb1538e,UFC 326: Holloway vs. Oliveira 2
Lone'er Kavanagh,Brandon Moreno,,http://ufcstats.com/fight-details/1330b5c21269fe92,UFC Fight Night: Moreno vs. Kavanagh
David Martinez,Marlon Vera,,http://ufcstats.com/fight-details/36d12b31957e94db,UFC Fight Night: Moreno vs. Kavanagh
King Green,Daniel Zellhuber,,http://ufcstats.com/fight-details/81f3d28d30d17378,UFC Fight Night: Moreno vs. Kavanagh
Edgar Chairez,Felipe Bunes,,http://ufcstats.com/fight-details/7df505d8260ba680,UFC Fight Night: Moreno vs. Kavanagh
Imanol Rodriguez,Kevin Borjas,,http://ufcstats.com/fight-details/15068d7b095ca9bd,UFC Fight Night: Moreno vs. Kavanagh
Santiago Luna,Angel Pacheco,,http://ufcstats.com/fight-details/3b76a00f5d0400eb,UFC Fight Night: Moreno vs. Kavanagh
Ryan Gandra,Jose Daniel Medina,,http://ufcstats.com/fight-details/45ec0c5f19c9adbe,UFC Fight Night: Moreno vs. Kavanagh
Ailin Perez,Macy Chiasson,,http://ufcstats.com/fight-details/c40b934d2666e351,UFC Fight Night: Moreno vs. Kavanagh
Cristian Quinonez,Kris Moutinho,,http://ufcstats.com/fight-details/25ab195cefbce1d0,UFC Fight Night: Moreno vs. Kavanagh
Javier Reyes,Douglas Silva de Andrade,,http://ufcstats.com/fight-details/6154ee95d3f4fc32,UFC Fight Night: Moreno vs. Kavanagh
Regina Tarin,Ernesta Kareckaite,,http://ufcstats.com/fight-details/44d58943ac8e47e1,UFC Fight Night: Moreno vs. Kavanagh
Francis Marshall,Erik Silva,,http://ufcstats.com/fight-details/581292ffe5b09344,UFC Fight Night: Moreno vs. Kavanagh
Damian Pinas,Wes Schultz,,http://ufcstats.com/fight-details/c6a85b67fdd2ef3d,UFC Fight Night: Moreno vs. Kavanagh
Sean Strickland,Anthony Hernandez,,http://ufcstats.com/fight-details/8d740c844353ae0e,UFC Fight Night: Strickland vs. Hernandez
Uros Medic,Geoff Neal,,http://ufcstats.com/fight-details/dd12bf51c5ed7f1e,UFC Fight Night: Strickland vs. Hernandez
Melquizael Costa,Dan Ige,,http://ufcstats.com/fight-details/dc6f6c8228390ebb,UFC Fight Night: Strickland vs. Hernandez
Serghei Spivac,Ante Delija,,http://ufcstats.com/fight-details/04b7bcc0e8488604,UFC Fight Night: Strickland vs. Hernandez
Jacobe Smith,Josiah Harrell,,http://ufcstats.com/fight-details/54437b8dba3a6110,UFC Fight Night: Strickland vs. Hernandez
Michel Pereira,Zach Reese,,http://ufcstats.com/fight-details/372d1dee0db8dbee,UFC Fight Night: Strickland vs. Hernandez
Carlos Leal,Chidi Njokuani,,http://ufcstats.com/fight-details/202d3277e569ad03,UFC Fight Night: Strickland vs. Hernandez
Alibi Idiris,Ode Osbourne,,http://ufcstats.com/fight-details/7ffdaa44fc8d111b,UFC Fight Night: Strickland vs. Hernandez
Alden Coria,Luis Gurule,,http://ufcstats.com/fight-details/ac39c1f00ae31e58,UFC Fight Night: Strickland vs. Hernandez
Joselyne Edwards,Nora Cornolle,,http://ufcstats.com/fight-details/fd56a469e4589ebc,UFC Fight Night: Strickland vs. Hernandez
Punahele Soriano,Ramiz Brahimaj,,http://ufcstats.com/fight-details/8f9896e60047007f,UFC Fight Night: Strickland vs. Hernandez
Jean-Paul Lebosnoyani,Phil Rowe,,http://ufcstats.com/fight-details/508e622130b0a84d,UFC Fight Night: Strickland vs. Hernandez
Jordan Leavitt,Yadier del Valle,,http://ufcstats.com/fight-details/5b97f47cdd355cbe,UFC Fight Night: Strickland vs. Hernandez
Carli Judice,Juliana Miller,,http://ufcstats.com/fight-details/6e78d874097a3d22,UFC Fight Night: Strickland vs. Hernandez
Mario Bautista,Vinicius Oliveira,,http://ufcstats.com/fight-details/fb4b1754d510b0d0,UFC Fight Night: Bautista vs. Oliveira
Kyoji Horiguchi,Amir Albazi,,http://ufcstats.com/fight-details/dbbf8334a2600895,UFC Fight Night: Bautista vs. Oliveira
Rizvan Kuniev,Jailton Almeida,,http://ufcstats.com/fight-details/a5c5f76cf0a7c784,UFC Fight Night: Bautista vs. Oliveira
Michal Oleksiejczuk,Marc-Andre Barriault,,http://ufcstats.com/fight-details/8fea32ab0445859c,UFC Fight Night: Bautista vs. Oliveira
Farid Basharat,Jean Matsumoto,,http://ufcstats.com/fight-details/2a26c0cfa06265b7,UFC Fight Night: Bautista vs. Oliveira
Dustin Jacoby,Julius Walker,,http://ufcstats.com/fight-details/6cca11f353a2b42d,UFC Fight Night: Bautista vs. Oliveira
Daniil Donchenko,Alex Morono,,http://ufcstats.com/fight-details/f964d2dda87f25f0,UFC Fight Night: Bautista vs. Oliveira
Nikolay Veretennikov,Niko Price,,http://ufcstats.com/fight-details/abefaf1807941ee4,UFC Fight Night: Bautista vs. Oliveira
Ketlen Souza,Bruna Brasil,,http://ufcstats.com/fight-details/cc5c5a8cff4c1ae9,UFC Fight Night: Bautista vs. Oliveira
