red_fighter,blue_fighter,winner,fight_url,event,date,weight_class,method,round,time,red_wins,red_losses,red_draws,red_wins_by_ko_tko,red_wins_by_submission,red_wins_by_decision,red_losses_by_ko_tko,red_losses_by_submission,red_losses_by_decision,red_age,red_height_in,red_weight_lbs,red_reach_in,red_slpm,red_sapm,red_str_acc,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,red_stance,blue_wins,blue_losses,blue_draws,blue_wins_by_ko_tko,blue_wins_by_submission,blue_wins_by_decision,blue_losses_by_ko_tko,blue_losses_by_submission,blue_losses_by_decision,blue_age,blue_height_in,blue_weight_lbs,blue_reach_in,blue_slpm,blue_sapm,blue_str_acc,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,blue_stance,red_tot_sig_str_landed,red_tot_sig_str_attempted,red_tot_td_landed,red_tot_td_attempted,red_tot_ctrl_time_sec,blue_tot_sig_str_landed,blue_tot_sig_str_attempted,blue_tot_td_landed,blue_tot_td_attempted,blue_tot_ctrl_time_sec
Josh Emmett,Kevin Vallejos,,http://ufcstats.com/fight-details/f594fc5c2bc6237e,UFC Fight Night: Emmett vs. Vallejos,,Featherweight Bout,,,,19.0,6.0,0.0,,,,,,,,66.0,145.0,70.0,3.72,4.43,0.35,0.6,1.08,0.37,0.43,0.1,orthodox,17.0,1.0,0.0,,,,,,,,67.0,145.0,68.0,5.78,4.71,0.46,0.56,0.71,0.28,0.83,0.0,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amanda Lemos,Gillian Robertson,,http://ufcstats.com/fight-details/3b7b771b9578383d,UFC Fight Night: Emmett vs. Vallejos,,Women's Strawweight Bout,,,,15.0,5.0,1.0,,,,,,,,64.0,115.0,65.0,2.75,3.24,0.55,0.45,1.02,0.62,0.64,0.7,southpaw,16.0,8.0,0.0,,,,,,,,65.0,115.0,63.0,2.86,2.86,0.48,0.56,2.74,0.4,0.41,0.9,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ion Cutelaba,Oumar Sy,,http://ufcstats.com/fight-details/db7694f4513120d5,UFC Fight Night: Emmett vs. Vallejos,,Light Heavyweight Bout,,,,19.0,11.0,1.0,,,,,,,,73.0,205.0,75.0,4.26,3.34,0.43,0.47,3.77,0.49,0.75,0.1,southpaw,12.0,1.0,0.0,,,,,,,,76.0,205.0,83.0,3.67,1.72,0.48,0.7,2.73,0.36,1.0,0.4,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Fili,Jose Delgado,,http://ufcstats.com/fight-details/8bee5192baec71d8,UFC Fight Night: Emmett vs. Vallejos,,Featherweight Bout,,,,25.0,12.0,0.0,,,,,,,,71.0,145.0,74.0,3.87,4.23,0.37,0.51,2.22,0.45,0.71,0.2,orthodox,10.0,2.0,0.0,,,,,,,,71.0,145.0,74.0,8.22,5.44,0.54,0.47,1.81,0.42,0.6,0.0,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marwan Rahiki,Harry Hardwick,,http://ufcstats.com/fight-details/e0acd0cf4930671b,UFC Fight Night: Emmett vs. Vallejos,,Featherweight Bout,,,,7.0,0.0,0.0,,,,,,,,68.0,145.0,72.0,5.96,6.1,0.47,0.56,0.0,0.0,1.0,2.1,orthodox,13.0,4.0,1.0,,,,,,,,68.0,145.0,71.0,2.39,7.16,0.34,0.4,0.0,0.0,0.0,0.0,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitor Petrino,Steven Asplund,,http://ufcstats.com/fight-details/2c330a6f7f1e55f0,UFC Fight Night: Emmett vs. Vallejos,,Heavyweight Bout,,,,13.0,2.0,0.0,,,,,,,,74.0,225.0,77.0,2.75,2.48,0.46,0.47,3.04,0.51,0.79,0.8,orthodox,7.0,1.0,0.0,,,,,,,,77.0,260.0,78.0,19.93,7.49,0.58,0.57,0.0,0.0,1.0,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Johnson,Bruno Silva,,http://ufcstats.com/fight-details/fc9168fd102e2e66,UFC Fight Night: Emmett vs. Vallejos,,Flyweight Bout,,,,18.0,8.0,0.0,,,,,,,,69.0,125.0,70.0,4.68,3.94,0.49,0.56,0.55,0.2,0.66,0.4,switch,15.0,7.0,2.0,,,,,,,,64.0,125.0,65.0,3.82,4.55,0.5,0.52,2.3,0.29,0.63,0.3,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Tavares,Eryk Anders,,http://ufcstats.com/fight-details/cff81d681a01ae18,UFC Fight Night: Emmett vs. Vallejos,,Middleweight Bout,,,,21.0,12.0,0.0,,,,,,,,73.0,185.0,74.0,3.42,3.36,0.43,0.54,0.73,0.26,0.81,0.0,orthodox,17.0,9.0,0.0,,,,,,,,73.0,185.0,75.0,3.51,4.09,0.48,0.5,1.75,0.24,0.8,0.1,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Curtis,Myktybek Orolbai,,http://ufcstats.com/fight-details/f26c0bdf7689aea2,UFC Fight Night: Emmett vs. Vallejos,,Welterweight Bout,,,,32.0,12.0,0.0,,,,,,,,70.0,170.0,75.0,5.98,6.19,0.5,0.54,0.0,0.0,0.82,0.0,orthodox,15.0,2.0,1.0,,,,,,,,70.0,170.0,74.0,3.24,3.31,0.48,0.5,5.48,0.45,0.4,0.6,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolaji Oki,Manoel Sousa,,http://ufcstats.com/fight-details/c769dd861357af9f,UFC Fight Night: Emmett vs. Vallejos,,Lightweight Bout,,,,10.0,3.0,0.0,,,,,,,,70.0,155.0,73.0,6.59,5.15,0.44,0.61,1.01,0.6,0.66,0.0,orthodox,13.0,1.0,0.0,,,,,,,,69.0,155.0,70.0,3.23,1.31,0.58,0.55,0.0,0.0,0.62,2.3,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
